,Nombre,Tipo,Id,Area,Campo,Disciplina
122,Rediseño y caracterización de un equipo de prueba eléctrica en el ensamble del producto Jack Bam,ScientificPaper,9fd19060fa8c4092b5ed13c444c50086,7.0,32.0,283.0
123,Computational Fluid Dynamics Simulation for propeller,ScientificPaper,9fd19060fa8c4092b5ed13c444c50086,7.0,32.0,283.0
124,Metodo de filtrado de contaminantes via remota,Patent,9fd19060fa8c4092b5ed13c444c50086,,,
125,"Cálculo y comparación de las fuerzas aerodinámicas de perfiles aerodinámicos B707 Y NACA 4412 numérico, experimental y analítico.",ResearchProject,9fd19060fa8c4092b5ed13c444c50086,7.0,32.0,1052.0
126,"Cálculo y comparación de las fuerzas aerodinámicas de perfiles aerodinámicos B307 Y NACA 6512 numérico, experimental y analítico.",ResearchProject,9fd19060fa8c4092b5ed13c444c50086,7.0,32.0,1052.0
127,"Futuros científicos ,Ciencia para todos : Cohetes",ResearchProject,9fd19060fa8c4092b5ed13c444c50086,7.0,32.0,283.0
128,Cascada de alabes para la determinación del número mínimo de álabes del estator necesario para que el flujo que incide en los bordes,ResearchProject,9fd19060fa8c4092b5ed13c444c50086,7.0,32.0,283.0
129,determinación del número mínimo de álabes del estator necesario para que el flujo que incide en los bordes delanteros de los álabes del,ResearchProject,9fd19060fa8c4092b5ed13c444c50086,7.0,32.0,283.0
130,"Futuros científicos ,Ciencia para todos : Cohete",ResearchProject,9fd19060fa8c4092b5ed13c444c50086,7.0,32.0,283.0
131,UPSIN-CA-7,ResearchGroup,9fd19060fa8c4092b5ed13c444c50086,7.0,32.0,280.0
132,Neural control and coordination of decentralized transportation robots,ScientificPaper,a8279b9e595f4163b96270c704983108,1.0,6.0,47.0
133,On geodesibility of algebrizable planar vector fields,ScientificPaper,a8279b9e595f4163b96270c704983108,1.0,6.0,47.0
134,On solutions of PDEs by using algebras,ScientificPaper,a8279b9e595f4163b96270c704983108,1.0,6.0,47.0
135,"Campos vectoriales analíticos complejos sobre superficies de Riemann: visualización, geometría y dinámica",ResearchProject,a8279b9e595f4163b96270c704983108,1.0,6.0,47.0
136,Algebrizabilidad de campos vectoriales,ResearchProject,a8279b9e595f4163b96270c704983108,1.0,6.0,47.0
137,Factores integrantes inversos para ecuaciones diferenciales,ResearchProject,a8279b9e595f4163b96270c704983108,1.0,6.0,47.0
138,Geometría y dinámica de campos vectoriales planares algebrizables,ResearchProject,a8279b9e595f4163b96270c704983108,1.0,6.0,47.0
139,Geometría y dinámica de campos vectoriales en el espacio,ResearchProject,a8279b9e595f4163b96270c704983108,1.0,6.0,47.0
140,Algebrizabilidad de sistemas de dos EDPs,ResearchProject,a8279b9e595f4163b96270c704983108,1.0,6.0,47.0
